orig_name,new_name,color,type,source,old_slug,new_slug,local_img
Bianco Nebbia,Storm Brillante,grey,marble,hmg,bianco-nebbia,storm-brillante,images/0051_Bianco_Nebbia.jpg
Gun Metal SE,Parchment Elegante,cream,marble,hmg,gun-metal-se,parchment-elegante,images/0052_Gun_Metal_SE.jpg
Lar grey Areka Finish,Smoke Lustro,grey,marble,hmg,lar-grey-areka-finish,smoke-lustro,images/0053_Lar_grey_Areka_Finish.jpg
Couger,Teak Regale,brown,marble,hmg,couger,teak-regale,images/0054_Couger.jpg
Marlin,Mirror Puro,silver,marble,hmg,marlin,mirror-puro,images/0055_Marlin.jpg
Silver Root,Bronze Argento,brown,marble,hmg,silver-root,bronze-argento,images/0056_Silver_Root.jpg
Gregio Pozzolano,Noce Finissimo,brown,marble,hmg,gregio-pozzolano,noce-finissimo,images/0057_Gregio_Pozzolano.jpg
Grigio Aurora,Mogano Aurora,brown,marble,hmg,grigio-aurora,mogano-aurora,images/0058_Grigio_Aurora.jpg
Crystal Light,Castagno Cristallo,brown,marble,hmg,crystal-light,castagno-cristallo,images/0059_Crystal_Light.jpg
Light Emperador Brown,Marrone Imperiale,brown,marble,hmg,light-emperador-brown,marrone-imperiale,images/0060_Light_Emperador_Brown.jpg
Dark Emperador,Walnut Imperiale,brown,marble,hmg,dark-emperador,walnut-imperiale,images/0061_Dark_Emperador.jpg
Marron Ketupa,Mocha Imperiale,brown,marble,hmg,marron-ketupa,mocha-imperiale,images/0062_Marron_Ketupa.jpg
Bronze Amani (ARK),Espresso Bronzato,brown,marble,hmg,bronze-amani-ark,espresso-bronzato,images/0063_Bronze_Amani__ARK_.jpg
Black Diamond,Carbon Supremo,black,marble,hmg,black-diamond,carbon-supremo,images/0064_Black_Diamond.jpg
Panda White,Shadow Elegante,black,marble,hmg,panda-white,shadow-elegante,images/0065_Panda_White.jpg
Gregio Picaso,Notturno Brillante,black,marble,hmg,gregio-picaso,notturno-brillante,images/0066_Gregio_Picaso.jpg
Silver Cloud,Ebano Argento,black,marble,hmg,silver-cloud,ebano-argento,images/0067_Silver_Cloud.jpg
Nero St Laurent,Oscuro Lustro,black,marble,hmg,nero-st-laurent,oscuro-lustro,images/0068_Nero_St_Laurent.jpg
Belgium Black,Abisso Regale,black,marble,hmg,belgium-black,abisso-regale,images/0069_Belgium_Black.jpg
Mildew Algae,Verde Puro,green,marble,hmg,mildew-algae,verde-puro,images/0070_Mildew_Algae.jpg
Silver Grey,Storm Argento,grey,granite,hmg,silver-grey,storm-argento,images/0071_Silver_Grey.jpg
Cotton White,Slate Tableland,grey,granite,hmg,cotton-white,slate-tableland,images/0072_Cotton_White.jpg
ALP,Smoke Escarp,grey,granite,hmg,alp,smoke-escarp,images/0073_ALP.jpg
Butter Fruit,Steel Fastness,grey,granite,hmg,butter-fruit,steel-fastness,images/0074_Butter_Fruit.jpg
